"emp_no","first_name","last_name","dept_name"
10417,"Bingning","Bakhtari","Sales"
10427,"Khosrow","Sudbeck","Sales"
10431,"Patricio","Bugrara","Sales"
10442,"Volkmar","Unno","Sales"
10444,"Kazuhira","Rosis","Sales"
10448,"Phule","Oxenboll","Sales"
10449,"Aleksandar","Sudkamp","Sales"
10454,"Wonhee","Badr","Sales"
10455,"Sverrir","Streng","Sales"
10458,"Gina","Engelmann","Sales"
10461,"Gal","Karcich","Sales"
10463,"Ung","Zaiane","Sales"
10468,"Yoshimitsu","Shobatake","Sales"
10472,"Salvador","Lodder","Sales"
10490,"Huiqun","Vuskovic","Sales"
10493,"Maris","Haraldson","Sales"
10499,"Maik","Luft","Sales"
10504,"Xiong","Varker","Sales"
10505,"Isamu","Auria","Sales"
10509,"Abdelwaheb","Riesenhuber","Sales"
10510,"Keung","Slobodova","Sales"
10515,"Raimond","Kirkerud","Sales"
10517,"Tiina","Speek","Sales"
10521,"Kwangsub","Setia","Sales"
10525,"Yuchang","Lunt","Sales"
10532,"Mary","Wossner","Sales"
10533,"Mohamadou","Smailagic","Sales"
10536,"Yechiam","Sambasivam","Sales"
10537,"Stella","Benzmuller","Sales"
10539,"Yucel","Reinhard","Sales"
10541,"Godehard","Eiter","Sales"
10548,"Ramalingam","Gunderson","Sales"
10555,"Vitaly","Picci","Sales"
10559,"Arumugam","Comellas","Sales"
10561,"Serge","Joslin","Sales"
10567,"Dietrich","Journel","Sales"
10568,"Gao","Poulakidas","Sales"
10570,"Alassane","Morrin","Sales"
10573,"Tetsushi","Speel","Sales"
10592,"Almudena","Alvarado","Sales"
10596,"Sanjit","Coors","Sales"
10597,"Lucien","Schaad","Sales"
10600,"Emran","Rettelbach","Sales"
10603,"Wayne","Restivo","Sales"
10616,"Tommaso","Marwedel","Sales"
10619,"Vivian","Kusakabe","Sales"
10629,"Lalit","Francisci","Sales"
10633,"Sorina","Herber","Sales"
10637,"Heejo","Frolund","Sales"
10638,"Jenwei","Borovoy","Sales"
10640,"Anneke","Meszaros","Sales"
10644,"Pranas","Benaini","Sales"
10655,"Remko","Dalton","Sales"
10670,"Shunichi","McAffer","Sales"
10681,"Florina","Garnier","Sales"
10692,"Larisa","Bage","Sales"
10701,"Hyuncheol","Zolotykh","Sales"
10705,"Hironobu","Wynblatt","Sales"
10710,"Sorina","Kermarrec","Sales"
10725,"Garnet","Isard","Sales"
10744,"Yaghout","Syang","Sales"
10754,"Chenyi","Feinberg","Sales"
10765,"Goetz","Norsworthy","Sales"
10767,"Monique","Doering","Sales"
10770,"Bedir","Perry","Sales"
10788,"Frazer","Ullian","Sales"
10795,"Supot","Naudin","Sales"
10804,"Terresa","Benantar","Sales"
10807,"Munehiro","Zallocco","Sales"
10810,"Lijie","Lunn","Sales"
10813,"Shalesh","Shumilov","Sales"
10814,"Nidapan","Dymetman","Sales"
10817,"Uri","Rullman","Sales"
10828,"Godehard","Gammage","Sales"
10832,"Hidde","Bergere","Sales"
10836,"Jianhua","Leivant","Sales"
10837,"Chuanti","Karlin","Sales"
10855,"Kwangho","Reinhart","Sales"
10857,"Fusako","Stenning","Sales"
10862,"Zhenbing","Kadhim","Sales"
10864,"Elliott","Spieker","Sales"
10865,"Danco","Etalle","Sales"
10876,"Vincent","Papastamatiou","Sales"
10878,"Lakshmi","Deville","Sales"
10885,"Rayond","Cronau","Sales"
10889,"Cheong","Coors","Sales"
10890,"Ramzi","Furudate","Sales"
10895,"Vishwani","Petersohn","Sales"
10897,"Arno","Kumaresan","Sales"
10906,"Munehiro","Carrere","Sales"
10914,"Mizuhito","Prochazka","Sales"
10922,"Kyoichi","Wossner","Sales"
10923,"Younwoo","Maquelin","Sales"
10924,"Hironoby","Atchley","Sales"
10953,"Jahangir","Laventhal","Sales"
10955,"Urs","Danley","Sales"
10957,"Duke","Schnabel","Sales"
10959,"Kerryn","Vigier","Sales"
10960,"Billur","Braunschweig","Sales"
10962,"Naraig","Kugler","Sales"
10965,"Eckart","Braunschweig","Sales"
10968,"Lakshmi","Kolinko","Sales"
10977,"Toong","Murrill","Sales"
10981,"Sugwoo","Dulin","Sales"
10996,"Matk","Rahimi","Sales"
10998,"Marlo","Kandlur","Sales"
11002,"Bluma","Ulupinar","Sales"
11008,"Gennady","Menhoudj","Sales"
11009,"Alper","Axelband","Sales"
11015,"Jeanna","Riesenhuber","Sales"
11022,"Apostol","Pintelas","Sales"
11023,"Yifei","Driscoll","Sales"
11024,"Manton","Collavizza","Sales"
11029,"Georgi","Itzfeldt","Sales"
11030,"Kwan","Hellwagner","Sales"
11044,"Elvia","Cherinka","Sales"
11048,"Jaques","Demke","Sales"
11049,"Gift","Apsitis","Sales"
11055,"Shaleah","Neiman","Sales"
11056,"Palash","Speel","Sales"
11057,"Adly","Vural","Sales"
11060,"Genevieve","Pokrovskii","Sales"
11061,"Pintsang","Erni","Sales"
11086,"Yishai","Dalphin","Sales"
11089,"Conal","Henders","Sales"
11092,"Narain","Stamatiou","Sales"
11097,"Jovan","Rissanen","Sales"
11099,"Woody","Spataro","Sales"
11102,"Bernardo","Carrera","Sales"
11109,"Chinho","Stamatiou","Sales"
11120,"Masato","Curless","Sales"
11124,"Gladys","Porenta","Sales"
11144,"Carrsten","Heinisuo","Sales"
11146,"Ishfaq","Masand","Sales"
11149,"Domenico","Imataki","Sales"
11150,"Geraldo","Garigliano","Sales"
11155,"Moon","Yetto","Sales"
11159,"Becky","Schlenzig","Sales"
11163,"Djenana","Huttel","Sales"
11164,"Alain","Limongiello","Sales"
11168,"Shmuel","Tetzlaff","Sales"
11172,"Kristian","Sudkamp","Sales"
11189,"Dante","Bodoff","Sales"
11190,"Saeko","Mellouli","Sales"
11197,"Tadahiro","Fordan","Sales"
11198,"Leif","Gini","Sales"
11205,"Tayeb","Ebeling","Sales"
11206,"Steen","Sury","Sales"
11212,"Teruyuki","Peternell","Sales"
11214,"Elgin","Ibel","Sales"
11222,"Yishai","Neimat","Sales"
11226,"Margareta","Akiyama","Sales"
11237,"Brendon","Salinas","Sales"
11239,"Gurbir","Kenevan","Sales"
11241,"Yolla","Clemencon","Sales"
11248,"Uinam","Tsukuda","Sales"
11254,"Danel","Rindone","Sales"
11256,"Gudjon","Ratzlaff","Sales"
11259,"Amalendu","Gronowski","Sales"
11269,"Garnik","Slutz","Sales"
11271,"Hidde","Rajaraman","Sales"
11272,"Frederique","Molenkamp","Sales"
11282,"Josyula","Schaad","Sales"
11286,"Joydip","Gini","Sales"
11288,"Domenico","Eastman","Sales"
11302,"Shem","Senzako","Sales"
11306,"Subhankar","Reeken","Sales"
11307,"Mohd","Dratva","Sales"
11310,"Jianhua","Swab","Sales"
11315,"Neven","Meriste","Sales"
11318,"Gopalakrishnan","Unno","Sales"
11328,"Xiong","Ferriere","Sales"
11329,"Limsoon","McConalogue","Sales"
11334,"Yurij","Vural","Sales"
11338,"Kwangsub","Hanratty","Sales"
11344,"Paddy","Gulak","Sales"
11353,"Utpal","Berztiss","Sales"
11359,"Subhrajyoti","Jayawardene","Sales"
11360,"Fen","Schach","Sales"
11372,"Susanta","Vilarrasa","Sales"
11377,"Dayanand","Rosti","Sales"
11389,"Ronnie","Provine","Sales"
11401,"Huan","Merey","Sales"
11402,"Freyja","Brizzi","Sales"
11412,"Werner","Demeyer","Sales"
11427,"Haldun","Iisaka","Sales"
11429,"Nagui","Kaminger","Sales"
11430,"Georgi","Klassen","Sales"
11441,"Marlo","Aingworth","Sales"
11443,"Szabolcs","Nivat","Sales"
11468,"Navin","Maksimenko","Sales"
11472,"Constantino","Ghandeharizadeh","Sales"
11478,"Nidapan","Ginneken","Sales"
11480,"Masoud","Itschner","Sales"
11482,"Uri","Deverell","Sales"
11483,"Zine","Mateescu","Sales"
11484,"Holgard","Siepmann","Sales"
11486,"Itzchak","Ramaiah","Sales"
11493,"Shen","Sevcikova","Sales"
11495,"Shin","Barriga","Sales"
11506,"Rance","Picel","Sales"
11515,"Ulf","Basawa","Sales"
11519,"Halsur","Chinen","Sales"
11521,"Eldridge","Eastman","Sales"
11530,"Oscar","Jarecki","Sales"
11535,"Aemilian","Ohori","Sales"
11537,"DAIDA","Pehl","Sales"
11546,"Duro","Vuskovic","Sales"
11547,"Kyoichi","Flexer","Sales"
11552,"Tommaso","Ferretti","Sales"
11556,"Masasuke","Hashii","Sales"
11557,"Candido","Pesch","Sales"
11567,"Teiji","Mitzlaff","Sales"
11579,"Jinxi","Merel","Sales"
11586,"Shridhar","Orsini","Sales"
11594,"Pradeep","Butner","Sales"
11601,"Erez","Ritzmann","Sales"
11609,"Sigeru","Marrakchi","Sales"
11611,"Annemarie","Mateescu","Sales"
11615,"Shem","Isaak","Sales"
11618,"Gian","Juneja","Sales"
11619,"Taiji","Ozeki","Sales"
11621,"Ottavia","Baaleh","Sales"
11632,"Baoqiu","Bach","Sales"
11659,"Tremaine","Pileggi","Sales"
11660,"Gill","Stenning","Sales"
11662,"Mokhtar","Hofting","Sales"
11663,"Maria","Trumbly","Sales"
11664,"Oksana","Brizzi","Sales"
11666,"Uno","Chimia","Sales"
11668,"Hiroyasu","Wursthorn","Sales"
11671,"Pranjal","Babu","Sales"
11672,"Munir","Businaro","Sales"
11680,"Aral","Iwayama","Sales"
11688,"Denis","Coullard","Sales"
11696,"Dante","Rothe","Sales"
11698,"Arun","Azevdeo","Sales"
11706,"Tesuya","Remmers","Sales"
11708,"Chenye","Angot","Sales"
11715,"Arnd","Albarhamtoshy","Sales"
11717,"Mona","Chaudhury","Sales"
11718,"Richard","Marshall","Sales"
11720,"Abdulla","Heusch","Sales"
11723,"Halsur","Bauknecht","Sales"
11728,"Serge","Makrucki","Sales"
11729,"Xiong","Engberts","Sales"
11730,"Tzu","Delaune","Sales"
11740,"Isaac","Pero","Sales"
11746,"Koichi","Marrakchi","Sales"
11747,"Aksel","Kossowski","Sales"
11753,"Fayez","Nishimukai","Sales"
11773,"Naftaly","Lorys","Sales"
11781,"Tua","Pluym","Sales"
11785,"Hongzhu","Kalsbeek","Sales"
11797,"Chenxi","Thambidurai","Sales"
11801,"Tommaso","Dayang","Sales"
11811,"Herb","Boissier","Sales"
11813,"Gita","Muhlberg","Sales"
11817,"Niranjan","Markovitch","Sales"
11828,"Mikhail","Paciorek","Sales"
11830,"Maya","Snedden","Sales"
11838,"Taiji","Nitta","Sales"
11840,"Jayson","Hofman","Sales"
11849,"Chenye","Homond","Sales"
11850,"Bikash","Maginnis","Sales"
11852,"Zhongwei","Yurek","Sales"
11857,"Divier","Farrag","Sales"
11859,"Ipke","Muhlberg","Sales"
11873,"Venkatesan","Reeken","Sales"
11874,"Baoqiu","Motley","Sales"
11880,"Akeel","Esposito","Sales"
11881,"Arra","Staelin","Sales"
11882,"Zhonghua","Manders","Sales"
11884,"Patricia","Moehrke","Sales"
11890,"Remmert","Kirkerud","Sales"
11892,"Tesuro","Lorys","Sales"
11897,"Cordelia","Setlzner","Sales"
11904,"DeForest","Flasterstein","Sales"
11908,"Candida","Iisaku","Sales"
11927,"Mana","Aingworth","Sales"
11936,"Oddvar","Jonsson","Sales"
11941,"Gaurav","Cyre","Sales"
11946,"Charlene","Maraist","Sales"
11947,"Kiyomitsu","Lortz","Sales"
11961,"Sumant","Birdsall","Sales"
11962,"Niranjan","Erde","Sales"
11964,"Tzu","Norsworthy","Sales"
11966,"Poornachandra","Rotem","Sales"
11969,"Sibyl","Lorcy","Sales"
11980,"Yechezkel","Pews","Sales"
12011,"Zhilian","Coorg","Sales"
12012,"Syozo","Zolotykh","Sales"
12013,"Baziley","Vidya","Sales"
12026,"Moon","Pleszkun","Sales"
12034,"Aemilian","Piazza","Sales"
12036,"Mads","Ratzlaff","Sales"
12046,"Xiong","Ranum","Sales"
12054,"Odysseas","Braccini","Sales"
12067,"Doowon","Kalsbeek","Sales"
12076,"Karlis","Siprelle","Sales"
12080,"Panayotis","Feinberg","Sales"
12082,"Xinan","Yamaashi","Sales"
12097,"Mostafa","Serdy","Sales"
12098,"Pranay","Eugenio","Sales"
12099,"Nobuyoshi","Kuzuoka","Sales"
12100,"Nevio","Beznosov","Sales"
12102,"Aron","Erde","Sales"
12113,"Larisa","DeMori","Sales"
12119,"Sachin","Peot","Sales"
12128,"Yannik","Barreiro","Sales"
12129,"Hairong","Isaac","Sales"
12146,"Urs","Garnick","Sales"
12149,"Suebskul","Grandbois","Sales"
12160,"Aamer","Garrabrants","Sales"
12178,"Miyeon","Chinal","Sales"
12184,"Chenxi","Zhang","Sales"
12189,"Berni","Redmiles","Sales"
12199,"Huan","Poupard","Sales"
12213,"Kwangho","Brizzi","Sales"
12224,"Nikolaus","Lenart","Sales"
12225,"Yongqiao","Narahara","Sales"
12229,"Howell","Pfau","Sales"
12232,"Subhankar","Ratnakar","Sales"
12234,"Miomir","Rosar","Sales"
12235,"Honesty","Haumacher","Sales"
12237,"Chikara","Ballarin","Sales"
12253,"Amabile","Gimarc","Sales"
12259,"Juichirou","Hofting","Sales"
12261,"Udi","Hardjono","Sales"
12273,"Jaideep","Uehara","Sales"
12284,"Hatim","Khasidashvili","Sales"
12290,"Jeanne","Braccini","Sales"
12291,"Masamitsu","Koyama","Sales"
12294,"Arch","Heydon","Sales"
12295,"Weicheng","Lammel","Sales"
12296,"Kendra","Garnier","Sales"
12297,"Yoshimitsu","Krone","Sales"
12301,"Oksana","Akazan","Sales"
12306,"Suvo","Menyhert","Sales"
12318,"Jingling","Vesna","Sales"
12321,"Heekeun","Schicker","Sales"
12325,"Alassane","Randt","Sales"
12330,"Oguz","Eugenio","Sales"
12349,"Yannik","Denos","Sales"
12358,"Achilleas","Syrotiuk","Sales"
12373,"Mooi","Driscoll","Sales"
12390,"Kwangsub","Kilgour","Sales"
12393,"Soenke","Uhrig","Sales"
12398,"Arif","Solovay","Sales"
12399,"Mihalis","Luga","Sales"
12400,"Genki","Winter","Sales"
12411,"Shao","Ibel","Sales"
12412,"Chaitali","Peres","Sales"
12414,"Kish","Kruskal","Sales"
12415,"Uri","Sluis","Sales"
12430,"Kristine","Feldmann","Sales"
12435,"Marek","Gadepally","Sales"
12438,"Yongmao","Mondadori","Sales"
12448,"Honglan","Salverda","Sales"
12454,"Kerryn","Farris","Sales"
12457,"Olivera","Pettis","Sales"
12460,"Jingling","Gerlach","Sales"
12464,"Shai","Milicic","Sales"
12478,"Yahiko","Hopewell","Sales"
12491,"Cullen","Gruenwald","Sales"
12497,"Stein","Penz","Sales"
12499,"Izaskun","Lamba","Sales"
12505,"Barton","Goldhammer","Sales"
12513,"Niteen","Vesna","Sales"
12521,"Geoffry","Ranka","Sales"
12523,"Tonia","Casley","Sales"
12537,"Avishai","Gonthier","Sales"
12541,"Shih","Nanard","Sales"
12552,"Mechthild","Zongker","Sales"
12560,"Leszek","Makinen","Sales"
12565,"Theron","Mullainathan","Sales"
12567,"Horward","DasSarma","Sales"
12575,"Sadok","Merel","Sales"
12582,"Saniya","Herath","Sales"
12590,"Gita","Rosenbaum","Sales"
12591,"Georgy","Makrucki","Sales"
12593,"Lubomir","Melter","Sales"
12595,"Yaghout","Morrey","Sales"
12598,"Hatem","Farrow","Sales"
12605,"Petter","Feldmann","Sales"
12612,"Chandrasekaran","Thimonier","Sales"
12617,"Shawna","Rusterholz","Sales"
12620,"Shahaf","Swick","Sales"
12622,"Jiafu","Kobara","Sales"
12624,"Zhongwei","Zykh","Sales"
12625,"Goo","Basart","Sales"
12629,"Kensyu","Siksek","Sales"
12640,"Shigeo","Lindqvist","Sales"
12645,"Kyoichi","Decaestecker","Sales"
12651,"Pragnesh","Bael","Sales"
12656,"Seshu","Morton","Sales"
12658,"Laurentiu","Farris","Sales"
12660,"Stamatina","Escriba","Sales"
12664,"Zhonghua","Parveen","Sales"
12673,"Jouni","Rajala","Sales"
12675,"Dekang","Krohm","Sales"
12681,"Rosalyn","Akaboshi","Sales"
12685,"Siamak","Openshaw","Sales"
12687,"Weicheng","Badache","Sales"
12690,"Valter","Mitchem","Sales"
12698,"Arunas","Paciorek","Sales"
12699,"Izaskun","Setia","Sales"
12703,"Luigi","Brookner","Sales"
12704,"Gino","Tetzlaff","Sales"
12705,"Dung","Driscoll","Sales"
12707,"Gregory","Zastre","Sales"
12708,"Hatem","Syang","Sales"
12716,"Angel","Theuretzbacher","Sales"
12720,"Spyrose","Blokdijk","Sales"
12724,"Parke","Lammel","Sales"
12732,"Mara","Takanami","Sales"
12742,"Supot","Bhattacharjee","Sales"
12756,"Mohit","Braccini","Sales"
12759,"LiMin","Kuszyk","Sales"
12761,"Hitofumi","Schaad","Sales"
12766,"Shuji","Molberg","Sales"
12770,"Maik","Benzaken","Sales"
12777,"Sreenivas","Cichocki","Sales"
